Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-08-19 15:10:00,2.9456,2.9489,2.9415,2.9469,536748.5,1755616499999.0,1580921.79906,12599.0,346428.7,1020241.39957,0.0
2025-08-19 15:15:00,2.9469,2.9544,2.9461,2.9505,690702.5,1755616799999.0,2037647.37837,8958.0,439775.3,1297378.03115,0.0
2025-08-19 15:20:00,2.9505,2.9624,2.9496,2.9615,798156.1,1755617099999.0,2358761.0946,9047.0,610216.3,1803307.26615,0.0
2025-08-19 15:25:00,2.9615,2.9675,2.9578,2.9651,774948.8,1755617399999.0,2297036.39322,7590.0,508016.0,1505996.18299,0.0
2025-08-19 15:30:00,2.965,2.966,2.9594,2.9611,360149.5,1755617699999.0,1066921.20372,5328.0,217063.1,643017.47594,0.0
2025-08-19 15:35:00,2.9611,2.9642,2.9577,2.9581,324603.0,1755617999999.0,961004.34254,4980.0,172416.0,510429.51731,0.0
2025-08-19 15:40:00,2.958,2.9581,2.9474,2.9528,458908.9,1755618299999.0,1354903.60612,6088.0,218390.3,644619.36687,0.0
2025-08-19 15:45:00,2.9528,2.9528,2.9338,2.937,1112951.3,1755618599999.0,3272443.05599,10835.0,579923.8,1704948.42314,0.0
2025-08-19 15:50:00,2.9369,2.9391,2.9303,2.935,947036.1,1755618899999.0,2778750.4855,12513.0,527621.0,1548161.96921,0.0
2025-08-19 15:55:00,2.935,2.9372,2.9271,2.9296,1693302.5,1755619199999.0,4962646.43253,7290.0,370698.4,1086822.06653,0.0
2025-08-19 16:00:00,2.9296,2.9352,2.9232,2.9287,1901200.2,1755619499999.0,5569622.88205,20446.0,1163252.2,3408638.89018,0.0
2025-08-19 16:05:00,2.9287,2.9305,2.9233,2.9289,774462.5,1755619799999.0,2266702.46945,11773.0,451093.9,1320372.53376,0.0
2025-08-19 16:10:00,2.9288,2.9342,2.9233,2.9234,566431.8,1755620099999.0,1659146.07915,8071.0,369040.2,1080702.70709,0.0
2025-08-19 16:15:00,2.9234,2.9319,2.9205,2.9282,596721.2,1755620399999.0,1745730.44847,15761.0,340412.7,995815.54835,0.0
2025-08-19 16:20:00,2.9281,2.9355,2.926,2.9343,620465.6,1755620699999.0,1818940.61326,6767.0,483598.6,1417742.13324,0.0
2025-08-19 16:25:00,2.9343,2.9354,2.9214,2.9223,334265.8,1755620999999.0,978801.36866,5236.0,188596.7,552247.10192,0.0
2025-08-19 16:30:00,2.9223,2.93,2.9216,2.9245,473792.3,1755621299999.0,1385919.81291,8604.0,243589.6,712439.67679,0.0
2025-08-19 16:35:00,2.9245,2.9317,2.9135,2.9147,1659134.4,1755621599999.0,4844696.34182,21973.0,700133.0,2044767.00399,0.0
2025-08-19 16:40:00,2.9148,2.9238,2.9116,2.922,570699.0,1755621899999.0,1664808.23517,12551.0,346111.5,1009557.05833,0.0
2025-08-19 16:45:00,2.922,2.9234,2.9151,2.9155,333951.7,1755622199999.0,974587.4692,10100.0,195368.3,570077.78912,0.0
2025-08-19 16:50:00,2.9155,2.9194,2.9115,2.912,691874.2,1755622499999.0,2016604.3669,15138.0,330567.9,963512.20375,0.0
2025-08-19 16:55:00,2.912,2.9146,2.9081,2.911,702175.9,1755622799999.0,2043993.44107,10604.0,238791.4,695137.85771,0.0
2025-08-19 17:00:00,2.911,2.9172,2.9076,2.908,562565.6,1755623099999.0,1638136.25253,8954.0,265769.1,774177.93499,0.0
2025-08-19 17:05:00,2.9081,2.9103,2.8968,2.906,3504714.1,1755623399999.0,10176143.88692,24398.0,896932.7,2604479.04402,0.0
2025-08-19 17:10:00,2.906,2.9227,2.9053,2.9226,475863.7,1755623699999.0,1387050.83229,10274.0,255824.8,745568.47438,0.0
2025-08-19 17:15:00,2.9227,2.9273,2.9206,2.9249,593836.2,1755623999999.0,1736524.36712,11579.0,373566.7,1092495.26376,0.0
2025-08-19 17:20:00,2.9249,2.9296,2.9228,2.9292,271987.7,1755624299999.0,795812.6766,8780.0,120405.0,352330.89607,0.0
2025-08-19 17:25:00,2.9292,2.9298,2.9256,2.9274,463983.0,1755624599999.0,1358270.95741,7307.0,124404.5,364196.31896,0.0
2025-08-19 17:30:00,2.9273,2.9324,2.9244,2.9251,437407.0,1755624899999.0,1281123.2,6604.0,260559.6,763320.9336,0.0
2025-08-19 17:35:00,2.9251,2.9261,2.9214,2.9217,308869.1,1755625199999.0,902953.53675,5711.0,115992.5,339085.66271,0.0
2025-08-19 17:40:00,2.9217,2.9271,2.9217,2.9255,92585.7,1755625499999.0,270815.90796,3813.0,63361.8,185334.73328,0.0
2025-08-19 17:45:00,2.9254,2.9271,2.9184,2.9249,213611.0,1755625799999.0,624394.01914,4581.0,90564.5,264730.95139,0.0
2025-08-19 17:50:00,2.9248,2.9269,2.9214,2.9239,143832.7,1755626099999.0,420579.51076,5376.0,61455.5,179717.976,0.0
2025-08-19 17:55:00,2.9239,2.9322,2.9238,2.9295,195155.1,1755626399999.0,571515.71116,5475.0,151835.1,444647.14867,0.0
2025-08-19 18:00:00,2.9296,2.9305,2.9267,2.9299,166609.0,1755626699999.0,487964.53772,5932.0,67849.7,198695.38439,0.0
2025-08-19 18:05:00,2.9298,2.9336,2.9269,2.9331,124696.0,1755626999999.0,365482.77075,5137.0,70299.7,206047.57646,0.0
2025-08-19 18:10:00,2.933,2.9334,2.9253,2.9253,202261.9,1755627299999.0,592777.72024,4808.0,119028.9,348823.85637,0.0
2025-08-19 18:15:00,2.9253,2.93,2.9247,2.9256,137593.8,1755627599999.0,402752.84755,3686.0,70552.7,206516.97146,0.0
2025-08-19 18:20:00,2.9257,2.9283,2.9219,2.9277,282526.6,1755627899999.0,826455.28222,5398.0,107683.3,315037.09272,0.0
2025-08-19 18:25:00,2.9278,2.9309,2.9184,2.9185,457657.0,1755628199999.0,1337744.20625,5390.0,72771.3,212819.09073,0.0
2025-08-19 18:30:00,2.9186,2.925,2.9182,2.9245,161059.0,1755628499999.0,470604.41976,5996.0,43937.7,128356.06592,0.0
2025-08-19 18:35:00,2.9246,2.926,2.9178,2.9208,716694.5,1755628799999.0,2092761.19374,7398.0,327770.9,957022.2284,0.0
2025-08-19 18:40:00,2.9208,2.9216,2.9066,2.9098,400650.7,1755629099999.0,1166512.63093,8689.0,150990.2,439615.49634,0.0
2025-08-19 18:45:00,2.9099,2.9132,2.9006,2.9007,682214.3,1755629399999.0,1984129.40732,8773.0,168568.8,490072.20209,0.0
2025-08-19 18:50:00,2.9007,2.9092,2.8929,2.9092,1076536.2,1755629699999.0,3120353.74322,16038.0,459056.3,1330480.70648,0.0
