time,symbol,side,price,qty,stop_price,cash
2025-05-27 06:15:00,BNBUSDT,BUY,677.66,2.9474957943511497,676.468,7872.222620408591
2025-05-27 08:00:00,ETHUSDT,BUY,2621.68,0.7618778798327791,2608.866,5872.226000408591
2025-05-27 21:25:00,BNBUSDT,SELL,687.93,2.9474957943511497,,7897.260810200227
2025-05-27 21:45:00,ETHUSDT,SELL,2661.99,0.7618778798327791,,9922.73556284975
2025-05-28 23:05:00,ETHUSDT,BUY,2662.0,0.7503380916604058,2655.229,7922.73894284975
2025-05-29 00:45:00,BNBUSDT,BUY,690.69,2.8918907179776743,689.4200000000001,5922.74232284975
2025-05-29 01:00:00,BNBUSDT,STOP_SELL,689.31,2.8918907179776743,,7913.560081710889
2025-05-29 09:15:00,ETHUSDT,SELL,2718.73,0.7503380916604058,,9950.874804966861
2025-06-01 16:05:00,BTCUSDT,BUY,105176.5,0.018990934286651488,105003.609,7950.878184966861
2025-06-01 18:00:00,BTCUSDT,STOP_SELL,104986.12,0.018990934286651488,,9942.07077103966
2025-06-02 22:00:00,BTCUSDT,BUY,105165.1,0.018992992922557007,104981.144,7942.07415103966
2025-06-02 22:00:00,ETHUSDT,BUY,2571.59,0.7767179060425651,2563.799,5942.07753103966
2025-06-02 22:00:00,XRPUSDT,BUY,2.1916,457.33525546782437,1.6916000000000002,4938.478600426728
2025-06-03 04:15:00,BTCUSDT,SELL,105335.7,0.018992992922557007,,6936.517972753346
2025-06-03 04:30:00,XRPUSDT,SELL,2.1894,457.33525546782437,,7936.506104323783
2025-06-03 14:15:00,BTCUSDT,BUY,105547.89,0.018924111130975713,105265.437,5936.509484323783
2025-06-03 14:45:00,XRPUSDT,BUY,2.2315,459.54323298394104,1.7315,4909.705647978394
2025-06-03 16:45:00,ETHUSDT,SELL,2613.51,0.7767179060425651,,6937.026714580691
2025-06-03 20:50:00,BTCUSDT,SELL,105800.0,0.018924111130975713,,8936.594849992967
2025-06-03 23:50:00,XRPUSDT,SELL,2.2467,459.54323298394104,,9967.708439021979
2025-06-04 15:30:00,ETHUSDT,BUY,2649.85,0.7537785157650434,2637.816,7967.711819021979
2025-06-04 17:35:00,ETHUSDT,STOP_SELL,2632.94,0.7537785157650434,,9949.785374633504
2025-06-07 06:45:00,SOLUSDT,BUY,152.08,13.133876906891109,151.524,7949.788754633504
2025-06-07 09:55:00,SOLUSDT,STOP_SELL,151.48,13.133876906891109,,9936.722052913356
2025-06-07 12:30:00,BTCUSDT,BUY,105255.81,0.018976624663284623,105166.468,7936.725432913356
2025-06-07 22:30:00,ETHUSDT,BUY,2538.41,0.7868705213105842,2533.339,5936.728812913356
2025-06-07 23:00:00,ETHUSDT,STOP_SELL,2529.11,0.7868705213105842,,7924.2238103297705
2025-06-08 00:15:00,BTCUSDT,SELL,105507.72,0.018976624663284623,,9923.801377326725
2025-06-08 11:30:00,XRPUSDT,BUY,2.2245,456.4948633570293,1.7245,8907.008439118414
2025-06-08 16:00:00,BTCUSDT,BUY,106040.01,0.01883628641679683,105939.25,6907.011819118414
2025-06-08 16:00:00,SOLUSDT,BUY,151.1,13.219060225016547,150.6,4907.015199118414
2025-06-08 22:35:00,BTCUSDT,STOP_SELL,105802.84,0.01883628641679683,,6897.356984691607
2025-06-08 23:00:00,XRPUSDT,SELL,2.2602,456.4948633570293,,7927.785374253957
2025-06-08 23:30:00,SOLUSDT,SELL,152.61,13.219060225016547,,9942.523586178511
2025-06-09 09:00:00,BTCUSDT,BUY,105895.01,0.018862078581417578,105804.612,7942.526966178511
2025-06-09 16:20:00,BNBUSDT,BUY,658.39,3.033764182323547,657.544,5942.5303461785115
2025-06-09 17:00:00,XRPUSDT,BUY,2.295,459.02465022007266,1.795,4887.699273879513
2025-06-10 03:15:00,XRPUSDT,SELL,2.3047,459.02465022007266,,5944.238096896945
2025-06-10 04:15:00,BTCUSDT,SELL,109409.49,0.018862078581417578,,8005.245697312453
2025-06-10 04:25:00,BNBUSDT,SELL,663.37,3.033764182323547,,10015.137582351108
2025-06-10 11:00:00,ETHUSDT,BUY,2691.99,0.7419789820913154,2685.537,8015.140962351108
2025-06-10 18:45:00,SOLUSDT,BUY,161.36,12.378532473971244,160.568,6015.144342351108
2025-06-11 08:00:00,XRPUSDT,BUY,2.3001,467.06260855835967,1.8001,4939.457058488297
2025-06-11 09:15:00,ETHUSDT,SELL,2767.2,0.7419789820913154,,6989.992132220369
2025-06-11 10:15:00,SOLUSDT,SELL,164.8,12.378532473971244,,9027.322307133607
2025-06-11 14:15:00,ETHUSDT,BUY,2825.21,0.7069916926529356,2808.589,7027.325687133607
2025-06-11 18:15:00,ETHUSDT,STOP_SELL,2806.99,0.7069916926529356,,9009.264424298703
2025-06-11 19:05:00,XRPUSDT,SELL,2.2927,467.06260855835967,,10078.70678216502
2025-06-15 05:25:00,BTCUSDT,BUY,105661.77,0.018903715127997572,105623.232,8078.71016216502
2025-06-15 06:25:00,BTCUSDT,STOP_SELL,105550.0,0.018903715127997572,,10071.403420653874
2025-06-16 02:00:00,ETHUSDT,BUY,2567.41,0.777982480398534,2552.832,8071.406800653875
2025-06-16 02:05:00,BNBUSDT,BUY,651.8,3.0644369438478063,650.621,6071.410180653875
2025-06-16 05:15:00,BTCUSDT,BUY,106484.0,0.01875774764283836,106311.158,4071.413560653875
2025-06-16 13:15:00,BTCUSDT,SELL,106640.03,0.01875774764283836,,6069.139907215813
2025-06-16 16:00:00,XRPUSDT,BUY,2.298,466.1088144180749,1.798,4996.629398210885
2025-06-16 22:45:00,ETHUSDT,STOP_SELL,2552.56,0.777982480398534,,6979.8947573287505
2025-06-17 00:00:00,BNBUSDT,STOP_SELL,650.18,3.0644369438478063,,8969.740203183921
2025-06-17 01:25:00,XRPUSDT,SELL,2.2433,466.1088144180749,,10014.002798093588
2025-06-23 18:00:00,BNBUSDT,BUY,628.65,3.1772846575996185,626.2449999999999,8014.0061780935885
2025-06-23 20:20:00,ETHUSDT,BUY,2366.9,0.8438886306983818,2348.1150000000002,6014.009558093589
2025-06-23 20:50:00,ETHUSDT,STOP_SELL,2346.69,0.8438886306983818,,7991.780120353169
2025-06-24 08:45:00,BNBUSDT,SELL,638.8,3.1772846575996185,,10018.791015356748
2025-06-24 16:30:00,BNBUSDT,BUY,640.8,3.117041198501873,639.77,8018.794395356748
2025-06-24 16:30:00,BTCUSDT,BUY,105417.4,0.01894753617524242,105204.555,6018.797775356748
2025-06-24 16:30:00,ETHUSDT,BUY,2440.3,0.8185059214031062,2428.7270000000003,4018.8011553567485
2025-06-24 19:45:00,ETHUSDT,STOP_SELL,2425.32,0.8185059214031062,,6001.359256238444
2025-06-25 08:35:00,BNBUSDT,SELL,643.53,3.117041198501873,,8004.6610963311405
2025-06-25 13:15:00,XRPUSDT,BUY,2.2007,462.1335998082044,1.7006999999999999,6986.321560596198
2025-06-25 15:55:00,XRPUSDT,SELL,2.1815,462.1335998082044,,7993.15542079542
2025-06-25 23:05:00,BTCUSDT,SELL,107199.99,0.01894753617524242,,10021.690580910981
2025-06-26 01:15:00,ETHUSDT,BUY,2420.34,0.8252559557748085,2414.279,8021.693960910981
2025-06-26 10:00:00,ETHUSDT,SELL,2459.69,0.8252559557748085,,10048.928946802302
2025-06-28 01:45:00,XRPUSDT,BUY,2.1585,462.25073155290585,1.6585,9049.86364408008
2025-06-28 06:45:00,SOLUSDT,BUY,144.6,13.813278008298756,144.1,7049.86702408008
2025-06-28 18:45:00,XRPUSDT,SELL,2.1881,462.25073155290585,,8060.002963717569
2025-06-28 22:15:00,BNBUSDT,BUY,648.8,3.078606658446363,648.3,6060.0063437175695
2025-06-29 00:10:00,BNBUSDT,STOP_SELL,648.2,3.078606658446363,,8052.9649610356955
2025-06-29 02:30:00,SOLUSDT,SELL,149.51,13.813278008298756,,10115.503365902916
2025-06-29 08:00:00,BTCUSDT,BUY,107491.0,0.01858202082034775,107458.581,8115.506745902916
2025-06-29 08:05:00,BTCUSDT,STOP_SELL,107435.0,0.01858202082034775,,10109.270885508093
2025-06-29 08:05:00,BTCUSDT,BUY,107435.0,0.018591706613301066,107401.52100000001,8109.274265508093
