start,end,total_return,cagr,mdd,sharpe,atr_mul,risk
10000.0,10095.369121898246,0.009536912189824553,0.03880518938633837,-0.005159633537173858,1.548111188565471,1.0,0.005
10000.0,10093.88209201026,0.00938820920102601,0.03819158738362316,-0.005214544091125206,1.5254824357728056,1.5,0.005
10000.0,10093.5651202681,0.009356512026809982,0.03806082863212623,-0.005483787761760062,1.509016413824073,2.0,0.005
10000.0,10088.77753232659,0.008877753232659158,0.036087332342712664,-0.005961650163635257,1.4132860244871184,2.5,0.005
10000.0,10088.77753232659,0.008877753232659158,0.036087332342712664,-0.005961650163635257,1.4132860244871184,3.0,0.005
10000.0,10081.366996732238,0.008136699673223946,0.03303818366584488,-0.006359578079525252,1.2987104552435682,1.0,0.01
10000.0,10079.882029332348,0.007988202933234767,0.032427988121141116,-0.006359898801535202,1.2763164451796056,1.5,0.01
10000.0,10079.565497225225,0.007956549722522466,0.032297955286759716,-0.00635996717806564,1.2622058108258811,2.0,0.01
10000.0,10074.784549596201,0.007478454959620073,0.030335415011531586,-0.006361000468659506,1.1719552899595405,2.5,0.01
10000.0,10074.784549596201,0.007478454959620073,0.030335415011531586,-0.006361000468659506,1.1719552899595405,3.0,0.01
10000.0,10053.362746400226,0.005336274640022509,0.021576306758843034,-0.010528177311950215,0.8020768859496142,1.0,0.02
10000.0,10051.881903976522,0.005188190397652281,0.02097288152169785,-0.010528496688441913,0.7807853569182504,1.5,0.02
10000.0,10051.56625113948,0.005156625113948099,0.0208442914416751,-0.01052856477811337,0.7713466818050384,2.0,0.02
10000.0,10046.798584135422,0.004679858413542126,0.018903526155420902,-0.010529593733764608,0.6936529845424491,2.5,0.02
10000.0,10046.798584135422,0.004679858413542126,0.018903526155420902,-0.010529593733764608,0.6936529845424491,3.0,0.02
