time,symbol,side,price,qty,stop_price,cash
2025-05-18 22:35:00,BTCUSDT,BUY,105011.37,0.019020797462217666,104459.90999999999,8000.00338
2025-05-19 03:05:00,BTCUSDT,STOP_SELL,104418.82,0.019020797462217666,,9983.55063846936
2025-05-22 03:35:00,ETHUSDT,BUY,2613.64,0.7642215454308934,2594.9785714285713,7983.55401846936
2025-05-22 20:05:00,ETHUSDT,SELL,2646.37,0.7642215454308934,,10003.337852788776
2025-06-03 14:15:00,BTCUSDT,BUY,105547.89,0.018924111130975713,105144.38571428572,8003.341232788776
2025-06-04 05:00:00,BTCUSDT,SELL,105384.49,0.018924111130975713,,9995.056432889662
2025-07-09 12:05:00,ETHUSDT,BUY,2633.33,0.7585072892497333,2624.7628571428572,7995.059812889662
2025-07-09 18:05:00,BNBUSDT,BUY,663.67,3.0096282791146205,662.8671428571429,5995.063192889662
2025-07-10 04:00:00,ETHUSDT,SELL,2771.24,0.7585072892497333,,8094.336325687755
2025-07-10 10:15:00,BNBUSDT,SELL,669.8,3.0096282791146205,,10107.564743310972
2025-07-23 12:50:00,XRPUSDT,BUY,3.3751,202.15129486621944,2.8751,9424.3969429221
2025-07-23 18:35:00,XRPUSDT,SELL,3.2452,202.15129486621944,,10079.565497225225
